name,handedness,height,weight,avg,HR
Rod Carew,Left-Handed,72,170,0.328,92
Lyman Bostock,Left-Handed,73,180,0.311,23
Matty Alou,Left-Handed,69,160,0.307,31
Ralph Garr,Left-Handed,71,185,0.306,75
Bill Madlock,Right-Handed,71,180,0.305,163
Tony Oliva,Left-Handed,73,175,0.304,220
Manny Mota,Right-Handed,70,160,0.304,31
Pete Rose,Both-Handed,71,192,0.303,160
Al Oliver,Left-Handed,72,195,0.303,219
Bake McBride,Left-Handed,74,190,0.299,63
Rico Carty,Right-Handed,75,200,0.299,204
Jim Rice,Right-Handed,74,200,0.298,382
Cecil Cooper,Left-Handed,74,165,0.298,241
Joe Torre,Right-Handed,74,212,0.297,252
Manny Sanguillen,Right-Handed,72,193,0.296,65
Keith Hernandez,Left-Handed,72,180,0.296,162
Mickey Rivers,Left-Handed,70,165,0.295,61
Bob Watson,Right-Handed,72,201,0.295,184
Steve Garvey,Right-Handed,70,192,0.294,272
Lou Brock,Left-Handed,71,170,0.293,149
Mike Easler,Left-Handed,72,190,0.293,118
Ron Blomberg,Left-Handed,73,195,0.293,52
Thurman Munson,Right-Handed,71,190,0.292,113
Dick Allen,Right-Handed,71,187,0.292,351
Lou Piniella,Right-Handed,72,182,0.291,102
Hal McRae,Right-Handed,71,180,0.29,191
Johnny Ray,Both-Handed,71,170,0.29,53
Gene Richards,Left-Handed,72,175,0.29,26
Mike Hargrove,Left-Handed,72,195,0.29,80
Bill Buckner,Left-Handed,72,185,0.289,174
Jerry Mumphrey,Both-Handed,74,185,0.289,70
Alex Johnson,Right-Handed,72,205,0.288,78
Ron LeFlore,Right-Handed,72,200,0.288,59
Greg Gross,Left-Handed,70,160,0.287,7
Richie Zisk,Right-Handed,73,200,0.287,207
Lamar Johnson,Right-Handed,74,215,0.287,64
Jose Morales,Right-Handed,71,187,0.287,26
Reggie Smith,Both-Handed,72,180,0.287,314
Lee Lacy,Right-Handed,73,175,0.286,91
Tony Gonzalez,Left-Handed,69,170,0.286,103
Phil Bradley,Right-Handed,72,185,0.286,78
Carl Yastrzemski,Left-Handed,71,175,0.285,452
Garry Maddox,Right-Handed,75,175,0.285,117
Ted Simmons,Both-Handed,71,193,0.285,248
Cesar Cedeno,Right-Handed,74,175,0.285,199
Jose Cruz,Left-Handed,72,170,0.284,165
Floyd Robinson,Left-Handed,69,175,0.283,67
Dave Cash,Right-Handed,71,170,0.283,21
Fred Lynn,Left-Handed,73,185,0.283,306
Damaso Garcia,Right-Handed,73,165,0.283,36
Glenn Beckert,Right-Handed,73,190,0.283,22
Ken Singleton,Both-Handed,76,210,0.282,246
Tom Paciorek,Right-Handed,76,215,0.282,86
Bruce Bochte,Left-Handed,75,195,0.282,100
Wayne Nordhagen,Right-Handed,74,205,0.282,39
Willie Stargell,Left-Handed,74,188,0.282,475
Al Bumbry,Left-Handed,68,170,0.281,54
Gary Matthews,Right-Handed,74,185,0.281,234
Terry Whitfield,Left-Handed,73,197,0.281,33
Cleon Jones,Right-Handed,72,185,0.281,93
Jesus Alou,Right-Handed,74,190,0.28,32
Steve Henderson,Right-Handed,74,190,0.28,68
Mickey Hatcher,Right-Handed,74,200,0.28,38
Glenn Adams,Left-Handed,73,180,0.28,34
Chris Chambliss,Left-Handed,73,195,0.279,185
Tony Perez,Right-Handed,74,175,0.279,379
Rusty Staub,Left-Handed,74,190,0.279,292
Mike Vail,Right-Handed,73,180,0.279,34
Vic Davalillo,Left-Handed,67,150,0.279,36
Felix Millan,Right-Handed,71,172,0.279,22
Buddy Bell,Right-Handed,73,180,0.279,201
Keith Moreland,Right-Handed,72,190,0.279,121
Willie Davis,Left-Handed,74,180,0.279,182
Cesar Tovar,Right-Handed,69,155,0.278,46
Jim Ray Hart,Right-Handed,71,185,0.278,170
Jorge Orta,Left-Handed,70,170,0.278,130
George Hendrick,Right-Handed,75,195,0.278,267
Claudell Washington,Left-Handed,72,190,0.278,164
Dusty Baker,Right-Handed,74,183,0.278,242
Johnny Grubb,Left-Handed,75,175,0.278,99
Steve Kemp,Left-Handed,72,195,0.278,130
John Castino,Right-Handed,71,175,0.278,41
Ellis Valentine,Right-Handed,76,205,0.278,123
Gene Clines,Right-Handed,69,170,0.277,5
Jeff Stone,Left-Handed,72,175,0.277,11
Ron Santo,Right-Handed,72,190,0.277,342
Leon Durham,Left-Handed,73,185,0.277,147
Amos Otis,Right-Handed,71,165,0.277,193
Enos Cabell,Right-Handed,76,170,0.277,60
Bob Horner,Right-Handed,73,195,0.277,218
Rick Peters,Both-Handed,69,170,0.277,2
Bobby Murcer,Left-Handed,71,160,0.277,252
Dane Iorg,Left-Handed,72,180,0.276,14
Richie Hebner,Left-Handed,73,195,0.276,203
Greg Luzinski,Right-Handed,73,220,0.276,307
Gary Ward,Right-Handed,74,195,0.276,130
Danny Cater,Right-Handed,72,170,0.276,66
Jose Cardenal,Right-Handed,70,150,0.275,138
Willie Montanez,Left-Handed,72,170,0.275,139
Jerry Remy,Left-Handed,69,165,0.275,7
Gene Locklear,Left-Handed,70,165,0.274,9
George Foster,Right-Handed,73,180,0.274,348
Juan Beniquez,Right-Handed,71,150,0.274,79
Rennie Stennett,Right-Handed,71,160,0.274,41
Donn Clendenon,Right-Handed,76,209,0.274,159
Larry Herndon,Right-Handed,75,190,0.274,107
Terry Francona,Left-Handed,73,190,0.274,16
Carlos May,Left-Handed,71,200,0.274,90
Steve Ontiveros,Both-Handed,72,185,0.274,24
Darrell Brown,Both-Handed,72,184,0.274,1
Von Joshua,Left-Handed,70,170,0.273,30
Larry Hisle,Right-Handed,74,193,0.273,166
Ron Hunt,Right-Handed,72,186,0.273,39
Larry Biittner,Left-Handed,74,205,0.273,29
Ben Oglivie,Left-Handed,74,160,0.273,235
Chet Lemon,Right-Handed,72,190,0.273,215
Rick Burleson,Right-Handed,70,165,0.273,50
Willie Horton,Right-Handed,71,209,0.273,325
Dave Collins,Both-Handed,71,175,0.272,32
Manny Jimenez,Left-Handed,73,185,0.272,26
Bob Johnson,Right-Handed,70,175,0.272,44
Barry Bonnell,Right-Handed,75,190,0.272,56
Thad Bosley,Left-Handed,75,175,0.272,20
Bill Sample,Right-Handed,69,175,0.272,46
Merv Rettenmund,Right-Handed,70,190,0.271,66
Al Woods,Left-Handed,75,190,0.271,35
Rudy Law,Left-Handed,73,165,0.271,18
Duane Kuiper,Left-Handed,72,175,0.271,1
Joe Morgan,Left-Handed,67,160,0.271,268
Steve Braun,Left-Handed,70,180,0.271,52
Ray Knight,Right-Handed,73,185,0.271,84
Dave Stapleton,Right-Handed,73,178,0.271,41
Willie Aikens,Left-Handed,75,220,0.271,110
Broderick Perkins,Left-Handed,70,180,0.271,8
Roy White,Both-Handed,70,160,0.271,160
Sixto Lezcano,Right-Handed,70,165,0.271,148
Walt Williams,Right-Handed,66,165,0.27,33
Dan Ford,Right-Handed,73,185,0.27,121
Al Cowens,Right-Handed,73,197,0.27,108
Rufino Linares,Right-Handed,72,170,0.27,11
Paul Dade,Right-Handed,73,185,0.27,10
Tim Corcoran,Left-Handed,71,175,0.27,12
Jack Perconte,Left-Handed,70,160,0.27,2
Alan Bannister,Right-Handed,71,170,0.27,19
Rich Rollins,Right-Handed,70,185,0.269,77
Chris Brown,Right-Handed,72,185,0.269,38
Ron Pruitt,Right-Handed,72,185,0.269,12
Mike Ivie,Right-Handed,75,205,0.269,81
Tommy Helms,Right-Handed,70,165,0.269,34
Rick Miller,Left-Handed,72,175,0.269,28
Willie Crawford,Left-Handed,73,197,0.268,86
George Vukovich,Left-Handed,72,198,0.268,27
Ken Landreaux,Left-Handed,70,165,0.268,91
George Scott,Right-Handed,74,200,0.268,271
Tony Horton,Right-Handed,75,210,0.268,76
