Bavg,Lavg,Ravg,,,,,,
104,244,235,,,,,,100
110,245,235,,,,,,
114,245,235,,,,,,
125,246,235,,,,,,
127,246,235,,,,,,
159,246,236,,,,,,
205,246,236,,,,,,
206,247,236,,,,,,
210,247,236,,,,,,
212,247,236,,,,,,
216,247,236,,,,,,
217,247,236,,,,,,
217,247,236,,,,,,
219,248,236,,,,,,
227,248,236,,,,,,
227,248,236,,,,,,
228,248,236,,,,,,
229,248,236,,,,,,
229,248,236,,,,,,
229,248,236,,,,,,
230,248,236,,,,,,
231,249,236,,,,,,
231,249,237,,,,,,
232,249,237,,,,,,
233,250,237,,,,,,
234,250,237,,,,,,
234,250,237,,,,,,
236,250,237,,,,,,
236,250,238,,,,,,
236,250,238,,,,,,
236,251,238,,,,,,
237,251,238,,,,,,
237,251,238,,,,,,
237,252,238,,,,,,
238,252,238,,,,,,
240,253,239,,,,,,
240,253,239,,,,,,
241,253,239,,,,,,
242,253,239,,,,,,
243,253,239,,,,,,
244,253,239,,,,,,
245,253,239,,,,,,
245,253,239,,,,,,
245,253,239,,,,,,
245,254,240,,,,,,
245,254,240,,,,,,
245,254,240,,,,,,
247,254,240,,,,,,
249,255,240,,,,,,
249,255,240,,,,,,
250,255,240,,,,,,
250,255,241,,,,,,
251,255,241,,,,,,
251,255,241,,,,,,
251,256,241,,,,,,
252,256,241,,,,,,
253,256,241,,,,,,
254,256,241,,,,,,
255,257,241,,,,,,
255,257,241,,,,,,
256,257,242,,,,,,
257,257,242,,,,,,
257,257,242,,,,,,
257,257,242,,,,,,
257,258,242,,,,,,
258,258,242,,,,,,
259,258,242,,,,,,
259,258,242,,,,,,
260,258,242,,,,,,
261,258,243,,,,,,
